nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,,,,,,,,,,,
1340,-98.65187073,43.05204773,Charles Mix,SD,South Dakota,ML,Midlands,2341,69617,,,,,,,,,,,
1338,-98.58312225,43.05204773,Charles Mix,SD,South Dakota,ML,Midlands,2341,69615,,,,,,,,,,,
1337,-98.54301453,43.05204773,Charles Mix,SD,South Dakota,ML,Midlands,2341,69614,,,,,,,,,,,
1339,-98.611763,43.06351089,Charles Mix,SD,South Dakota,ML,Midlands,2341,69616,,,,,,,,,,,
1341,-98.72063446,43.09788513,Charles Mix,SD,South Dakota,ML,Midlands,2341,69618,,,,,,,,,,,
1342,-98.77792358,43.13226318,Charles Mix,SD,South Dakota,ML,Midlands,2341,69619,,,,,,,,,,,
1344,-98.83522034,43.13799286,Charles Mix,SD,South Dakota,ML,Midlands,2341,69621,,,,,,,,,,,
1343,-98.80084229,43.13799286,Charles Mix,SD,South Dakota,ML,Midlands,2341,69620,,,,,,,,,,,
1345,-98.85240936,43.14944839,Charles Mix,SD,South Dakota,ML,Midlands,2341,69622,,,,,,,,,,,
1346,-98.86386871,43.16664124,Charles Mix,SD,South Dakota,ML,Midlands,2341,69623,,,,,,,,,,,
1347,-98.87532806,43.20674896,Charles Mix,SD,South Dakota,ML,Midlands,2341,69624,,,,,,,,,,,
1348,-98.89250946,43.22393799,Charles Mix,SD,South Dakota,ML,Midlands,2341,69625,,,,,,,,,,,
1349,-98.97845459,43.24685669,Charles Mix,SD,South Dakota,ML,Midlands,2341,69626,,,,,,,,,,,
1350,-99.01856232,43.28123093,Charles Mix,SD,South Dakota,ML,Midlands,2341,69627,,,,,,,,,,,
1351,-99.05867004,43.3098793,Charles Mix,SD,South Dakota,ML,Midlands,2341,69628,,,,,,,,,,,
1352,-99.08159637,43.32706833,Charles Mix,SD,South Dakota,ML,Midlands,2341,69629,,,,,,,,,,,
1353,-99.10450745,43.33852768,Charles Mix,SD,South Dakota,ML,Midlands,2341,69630,,,,,,,,,,,
1354,-99.13316345,43.37290573,Charles Mix,SD,South Dakota,ML,Midlands,2341,69631,,,,,,,,,,,
1355,-99.1618042,43.42447281,Charles Mix,SD,South Dakota,ML,Midlands,2341,69632,,,,,,,,,,,
1356,-99.20191193,43.43020248,Charles Mix,SD,South Dakota,ML,Midlands,2341,69633,,,,,,,,,,,
1358,-99.26493835,43.43592834,Charles Mix,SD,South Dakota,ML,Midlands,2341,69635,,,,,,,,,,,
1357,-99.23628998,43.43592834,Charles Mix,SD,South Dakota,ML,Midlands,2341,69634,,,,,,,,,,,
1359,-99.30504608,43.45312119,Charles Mix,SD,South Dakota,ML,Midlands,2341,69636,,,,,,,,,,,
1360,-99.31650543,43.47031021,Charles Mix,SD,South Dakota,ML,Midlands,2341,69637,,,,,,,,,,,
1361,-99.31650543,43.48176575,Charles Mix,SD,South Dakota,ML,Midlands,2341,69638,,,,,,,,,,,
1291,-99.30504608,43.49322891,Brule,SD,South Dakota,ML,Midlands,2337,69492,,,,,,,,,,,
1334,-99.30504608,43.49322891,Charles Mix,SD,South Dakota,ML,Midlands,2341,69582,,,,,,,,,,,
1362,-99.30504608,43.49322891,Charles Mix,SD,South Dakota,ML,Midlands,2341,69639,,,,,,,,,,,
1292,-99.30504608,43.51041412,Brule,SD,South Dakota,ML,Midlands,2337,69493,,,,,,,,,,,
1293,-99.29931641,43.52187347,Brule,SD,South Dakota,ML,Midlands,2337,69494,,,,,,,,,,,
1294,-99.31650543,43.53333282,Brule,SD,South Dakota,ML,Midlands,2337,69495,,,,,,,,,,,
1295,-99.33369446,43.55052185,Brule,SD,South Dakota,ML,Midlands,2337,69496,,,,,,,,,,,
1296,-99.34514618,43.56771088,Brule,SD,South Dakota,ML,Midlands,2337,69497,,,,,,,,,,,
1297,-99.35661316,43.6078186,Brule,SD,South Dakota,ML,Midlands,2337,69498,,,,,,,,,,,
1298,-99.35088348,43.62500381,Brule,SD,South Dakota,ML,Midlands,2337,69499,,,,,,,,,,,
1301,-99.46546936,43.65365601,Brule,SD,South Dakota,ML,Midlands,2337,69502,,,,,,,,,,,
1300,-99.43109131,43.65365601,Brule,SD,South Dakota,ML,Midlands,2337,69501,,,,,,,,,,,
1299,-99.38525391,43.65365601,Brule,SD,South Dakota,ML,Midlands,2337,69500,,,,,,,,,,,
1302,-99.47119904,43.66511154,Brule,SD,South Dakota,ML,Midlands,2337,69503,,,,,,,,,,,
1303,-99.44828796,43.68803024,Brule,SD,South Dakota,ML,Midlands,2337,69504,,,,,,,,,,,
1304,-99.43109131,43.69949341,Brule,SD,South Dakota,ML,Midlands,2337,69505,,,,,,,,,,,
1305,-99.41963959,43.71667862,Brule,SD,South Dakota,ML,Midlands,2337,69506,,,,,,,,,,,
1306,-99.43682098,43.745327,Brule,SD,South Dakota,ML,Midlands,2337,69507,,,,,,,,,,,
1307,-99.43109131,43.77397537,Brule,SD,South Dakota,ML,Midlands,2337,69508,,,,,,,,,,,
1308,-99.37953186,43.7911644,Brule,SD,South Dakota,ML,Midlands,2337,69509,,,,,,,,,,,
1309,-99.34514618,43.82554245,Brule,SD,South Dakota,ML,Midlands,2337,69510,,,,,,,,,,,
1310,-99.32223511,43.84845734,Brule,SD,South Dakota,ML,Midlands,2337,69511,,,,,,,,,,,
1311,-99.32223511,43.8599205,Brule,SD,South Dakota,ML,Midlands,2337,69512,,,,,,,,,,,
1312,-99.34514618,43.87710953,Brule,SD,South Dakota,ML,Midlands,2337,69513,,,,,,,,,,,
1313,-99.36234283,43.88856506,Brule,SD,South Dakota,ML,Midlands,2337,69514,,,,,,,,,,,
1314,-99.36807251,43.91148376,Brule,SD,South Dakota,ML,Midlands,2337,69515,,,,,,,,,,,
1315,-99.36807251,43.92867661,Brule,SD,South Dakota,ML,Midlands,2337,69516,,,,,,,,,,,
1318,-99.36807251,43.92867661,Buffalo,SD,South Dakota,ML,Midlands,2338,69524,,,,,,,,,,,
1319,-99.36234283,43.95159149,Buffalo,SD,South Dakota,ML,Midlands,2338,69525,,,,,,,,,,,
1320,-99.36807251,43.97451019,Buffalo,SD,South Dakota,ML,Midlands,2338,69526,,,,,,,,,,,
1321,-99.38525391,44.00315857,Buffalo,SD,South Dakota,ML,Midlands,2338,69527,,,,,,,,,,,
1322,-99.40245056,44.01461792,Buffalo,SD,South Dakota,ML,Midlands,2338,69528,,,,,,,,,,,
1323,-99.42536163,44.0203476,Buffalo,SD,South Dakota,ML,Midlands,2338,69529,,,,,,,,,,,
1324,-99.44828796,44.03180313,Buffalo,SD,South Dakota,ML,Midlands,2338,69530,,,,,,,,,,,
1326,-99.50558472,44.04899597,Buffalo,SD,South Dakota,ML,Midlands,2338,69532,,,,,,,,,,,
1325,-99.47119904,44.04899597,Buffalo,SD,South Dakota,ML,Midlands,2338,69531,,,,,,,,,,,
1327,-99.53423309,44.07191467,Buffalo,SD,South Dakota,ML,Midlands,2338,69533,,,,,,,,,,,
1328,-99.55714417,44.08337402,Buffalo,SD,South Dakota,ML,Midlands,2338,69534,,,,,,,,,,,
1329,-99.56860352,44.10055923,Buffalo,SD,South Dakota,ML,Midlands,2338,69535,,,,,,,,,,,
1330,-99.56287384,44.11774826,Buffalo,SD,South Dakota,ML,Midlands,2338,69536,,,,,,,,,,,
1331,-99.56287384,44.15785599,Buffalo,SD,South Dakota,ML,Midlands,2338,69537,,,,,,,,,,,
1332,-99.56860352,44.17504883,Buffalo,SD,South Dakota,ML,Midlands,2338,69538,,,,,,,,,,,
1316,-99.5800705,44.19223404,Buffalo,SD,South Dakota,ML,Midlands,2338,69520,,,,,,,,,,,
1333,-99.5800705,44.19223404,Buffalo,SD,South Dakota,ML,Midlands,2338,69539,,,,,,,,,,,
1317,-99.29931641,44.19223404,Buffalo,SD,South Dakota,ML,Midlands,2338,69521,,,,,,,,,,,
1378,-99.29931641,44.19223404,Hand,SD,South Dakota,ML,Midlands,2359,69965,,,,,,,,,,,
1379,-99.29358673,44.54746628,Hand,SD,South Dakota,ML,Midlands,2359,69966,,,,,,,,,,,
1380,-99.30504608,44.55319595,Hand,SD,South Dakota,ML,Midlands,2359,69967,,,,,,,,,,,
1374,-99.31650543,44.89124298,Faulk,SD,South Dakota,ML,Midlands,2354,69861,,,,,,,,,,,
1377,-99.31650543,44.89124298,Hand,SD,South Dakota,ML,Midlands,2359,69957,,,,,,,,,,,
1381,-99.31650543,44.89124298,Hand,SD,South Dakota,ML,Midlands,2359,69968,,,,,,,,,,,
1375,-99.57433319,44.89697266,Faulk,SD,South Dakota,ML,Midlands,2354,69862,,,,,,,,,,,
1371,-99.70038605,45.24074936,Edmunds,SD,South Dakota,ML,Midlands,2352,69848,,,,,,,,,,,
1370,-99.57433319,45.24074936,Edmunds,SD,South Dakota,ML,Midlands,2352,69847,,,,,,,,,,,
1373,-99.57433319,45.24074936,Faulk,SD,South Dakota,ML,Midlands,2354,69858,,,,,,,,,,,
1376,-99.57433319,45.24074936,Faulk,SD,South Dakota,ML,Midlands,2354,69863,,,,,,,,,,,
1369,-99.7118454,45.59025192,Edmunds,SD,South Dakota,ML,Midlands,2352,69844,,,,,,,,,,,
1372,-99.7118454,45.59025192,Edmunds,SD,South Dakota,ML,Midlands,2352,69849,,,,,,,,,,,
1404,-99.7118454,45.59025192,McPherson,SD,South Dakota,ML,Midlands,2374,70320,,,,,,,,,,,
747,-99.86654663,45.9397583,McIntosh,ND,North Dakota,ML,Midlands,1984,59139,,,,,,,,,,,
750,-99.86654663,45.9397583,McIntosh,ND,North Dakota,ML,Midlands,1984,59145,,,,,,,,,,,
749,-99.7118454,45.9397583,McIntosh,ND,North Dakota,ML,Midlands,1984,59144,,,,,,,,,,,
1405,-99.7118454,45.9397583,McPherson,SD,South Dakota,ML,Midlands,2374,70321,,,,,,,,,,,
745,-99.90665436,46.28353119,Logan,ND,North Dakota,ML,Midlands,1982,59114,,,,,,,,,,,
744,-99.86081696,46.28353119,Logan,ND,North Dakota,ML,Midlands,1982,59113,,,,,,,,,,,
748,-99.86081696,46.28353119,McIntosh,ND,North Dakota,ML,Midlands,1984,59140,,,,,,,,,,,
734,-99.90665436,46.62730408,Kidder,ND,North Dakota,ML,Midlands,1980,59097,,,,,,,,,,,
746,-99.90665436,46.62730408,Logan,ND,North Dakota,ML,Midlands,1982,59115,,,,,,,,,,,
735,-100.0785446,46.63303375,Kidder,ND,North Dakota,ML,Midlands,1980,59098,,,,,,,,,,,
737,-100.1071854,46.98254013,Kidder,ND,North Dakota,ML,Midlands,1980,59100,,,,,,,,,,,
736,-100.0785446,46.98254013,Kidder,ND,North Dakota,ML,Midlands,1980,59099,,,,,,,,,,,
733,-100.0269699,47.32631302,Kidder,ND,North Dakota,ML,Midlands,1980,59092,,,,,,,,,,,
739,-100.0269699,47.32631302,Kidder,ND,North Dakota,ML,Midlands,1980,59102,,,,,,,,,,,
776,-100.0269699,47.32631302,Wells,ND,North Dakota,ML,Midlands,2010,59879,,,,,,,,,,,
738,-100.1014557,47.33204269,Kidder,ND,North Dakota,ML,Midlands,1980,59101,,,,,,,,,,,
778,-100.0728073,47.68154907,Wells,ND,North Dakota,ML,Midlands,2010,59881,,,,,,,,,,,
777,-100.0384369,47.68154907,Wells,ND,North Dakota,ML,Midlands,2010,59880,,,,,,,,,,,
752,-100.0728073,47.84770584,Pierce,ND,North Dakota,ML,Midlands,1993,59520,,,,,,,,,,,
779,-100.0728073,47.84770584,Wells,ND,North Dakota,ML,Midlands,2010,59882,,,,,,,,,,,
