"","Long","Lat","County","StateCode","State","NationCode","Nation","Group","Order"
"265",-82.2137145996094,27.1983070373535,"DeSoto","FL","Florida","SC","Spanish Caribbean",303,12695
"266",-82.1564178466797,27.2040348052979,"DeSoto","FL","Florida","SC","Spanish Caribbean",303,12696
"267",-82.1564178466797,27.2441425323486,"DeSoto","FL","Florida","SC","Spanish Caribbean",303,12697
"268",-82.0590133666992,27.2498722076416,"DeSoto","FL","Florida","SC","Spanish Caribbean",303,12698
"269",-82.0590133666992,27.3358173370361,"DeSoto","FL","Florida","SC","Spanish Caribbean",303,12699
"270",-81.5605392456055,27.3358173370361,"DeSoto","FL","Florida","SC","Spanish Caribbean",303,12700
"271",-81.5662689208984,27.0321483612061,"DeSoto","FL","Florida","SC","Spanish Caribbean",303,12701
"272",-80.9532089233398,27.2040348052979,"Glades","FL","Florida","SC","Spanish Caribbean",311,13010
"273",-80.9360198974609,27.1925754547119,"Glades","FL","Florida","SC","Spanish Caribbean",311,13011
"274",-80.9073715209961,27.1868476867676,"Glades","FL","Florida","SC","Spanish Caribbean",311,13012
"275",-80.8901824951172,27.1753883361816,"Glades","FL","Florida","SC","Spanish Caribbean",311,13013
"276",-80.8729934692383,27.1524696350098,"Glades","FL","Florida","SC","Spanish Caribbean",311,13014
"277",-81.5662689208984,27.0321483612061,"Glades","FL","Florida","SC","Spanish Caribbean",311,13025
"278",-81.3600082397461,27.0321483612061,"Glades","FL","Florida","SC","Spanish Caribbean",311,13026
"279",-81.3600082397461,27.037878036499,"Glades","FL","Florida","SC","Spanish Caribbean",311,13027
"280",-81.3370895385742,27.043607711792,"Glades","FL","Florida","SC","Spanish Caribbean",311,13028
"281",-81.3370895385742,27.0321483612061,"Glades","FL","Florida","SC","Spanish Caribbean",311,13029
