nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,NationGroup,n
336,-105.2924576,37.6490593,Costilla,CO,Colorado,EN,El Norte,226,10269,3,336
338,-105.1893158,37.60322189,Costilla,CO,Colorado,EN,El Norte,226,10270,3,337
337,-105.2007828,37.56311417,Costilla,CO,Colorado,EN,El Norte,226,10271,3,338
339,-105.1721344,37.53446579,Costilla,CO,Colorado,EN,El Norte,226,10272,3,339
340,-105.160675,37.44852066,Costilla,CO,Colorado,EN,El Norte,226,10273,3,340
344,-105.1377563,37.4427948,Costilla,CO,Colorado,EN,El Norte,226,10274,3,341
345,-105.126297,37.39122391,Costilla,CO,Colorado,EN,El Norte,226,10275,3,342
341,-105.160675,37.37976837,Costilla,CO,Colorado,EN,El Norte,226,10276,3,343
342,-105.160675,37.27663422,Costilla,CO,Colorado,EN,El Norte,226,10277,3,344
343,-105.160675,37.27663422,Las Animas,CO,Colorado,EN,El Norte,250,11006,3,345
346,-105.0861893,37.31674194,Las Animas,CO,Colorado,EN,El Norte,250,11007,3,346
353,-104.9200287,37.39122391,Las Animas,CO,Colorado,EN,El Norte,250,11008,3,347
354,-104.8398209,37.38549423,Las Animas,CO,Colorado,EN,El Norte,250,11009,3,348
355,-104.7194977,37.41414261,Las Animas,CO,Colorado,EN,El Norte,250,11010,3,349
357,-104.6851196,37.4427948,Las Animas,CO,Colorado,EN,El Norte,250,11011,3,350
356,-104.696579,37.4657135,Las Animas,CO,Colorado,EN,El Norte,250,11012,3,351
358,-104.67939,37.48289871,Las Animas,CO,Colorado,EN,El Norte,250,11013,3,352
360,-104.6335526,37.50008774,Las Animas,CO,Colorado,EN,El Norte,250,11014,3,353
361,-104.6220932,37.51727676,Las Animas,CO,Colorado,EN,El Norte,250,11015,3,354
362,-104.5590668,37.56311417,Las Animas,CO,Colorado,EN,El Norte,250,11016,3,355
363,-104.5418777,37.61467743,Las Animas,CO,Colorado,EN,El Norte,250,11017,3,356
365,-104.4387512,37.73500061,Las Animas,CO,Colorado,EN,El Norte,250,11018,3,357
